― Вставай же, Малинин! ― завопил я не своим голосом, весь дрожа от нетерпения и желания поскорей пополнить Костиной и моей персоной ряды трутней на земном шаре.	4
- Вот кого нам не хватало! - обрадовался он, завидев капитана-шеф-повара.  - Пополнение в наши ряды!  А вы, похоже, папа Ваня?― кивнул слонёнку.	4
С 1974 по 1976 г. проходил службу в рядах Вооружённых Сил СССР на территории Ленинградского военного округа.	4
Родители прислали лишь фотографию сынишки в "столичной" униформе― шапке с надписью "Хочется тепла!" ― и заявили о том, что всей семьёй вступают в ряды поклонников "Столицы".	4
< formula>   Выявленные отношения позволяют предполагать, что протоядра и атомные ядра химических элементов представляют собой микросистемы, построенные по математическому принципу последовательного распределения ряда чисел значимых величин.	8
Результаты спектрального оценивания одиннадцатилетних циклов солнечной активности показывают, что основной период повторения максимумов в ряде чисел Вольфа равен 10, 6-10, 7 лет, а дополнительные периоды имеют продолжительность 5, 2 года и 20-21 год.	8
В частности, математической базой синхронистического мышления при осуществлении тех или иных прорицаний служит натуральный ряд чисел.	8
(Я нарочно взял теорию чисел, потому что теоремы этой теории устанавливаются практически работающими математиками не исходя из каких-либо аксиом, а опираясь на непосредственное интуитивное представление о натуральном числе и о натуральном ряде как совокупности таких чисел.)	8
22% молодых людей пока не смогли точно определиться, но анализ их ответов на другие вопросы анкеты позволяет сделать вывод, что и они пополнят ряды скорее намеревающихся уехать, чем остающихся.	4
Сейчас книга, к сожалению, полузабыта, хотя ничего лучшего в этой области до сих пор не создано, и ей бы, по справедливости, и сейчас быть в ходу, тем более что ряды издателей необыкновенно расширились.	4
Для рекрутирования некоторого индивида в ряды своих сторонников теория должна добиться, чтобы он перестал быть сторонником другой теории.	4
Разговоры о синхронном вступлении в ряды ВТО Россия, Украина и Казахстан ведут постоянно.	4
Уверен, уже в следующем году процентов 80 ребят из нашей команды смогут пополнить ряды первой сборной России.	4
Кремль всерьёз стали беспокоить заявления главы Генсовета ЕР о том, что Путин непременно вступит в ряды партии перед парламентскими выборами-2003.	4
Как и в Инсбруке, смятение в рядах "Локо" вызвал крепко сбитый, но в общем-то заурядный соперник.	4
Михайлова уважали, боялись и прислушивались к каждому слову, срывавшемуся с губ Бориса Петровича, а игроки, призванные в ряды сборной, с осознанием причастности к особой касте ложились костьми, чтобы оправдать оказанное доверие и в конце концов прикоснуться к святая святых хоккея ― олимпийскому турниру в Солт-Лейк-Сити.	4
Международная ассоциация по оценке образования приняла в свои ряды организации лишь двух стран из числа республик бывшего СССР ― Азербайджана и Литвы.	4
― "Александр Петрович, вы скажите мне, пожалуйста (у самого язык заплетается от растерянности, не знает, чего спросить), что вас побудило вступить в ряды Ленинского комсомола?	4
У кого взгляды совпадают, они давно сплотились, окрепли в её рядах и действительно навсегда стали надёжной опорой партии.	4
Или бесконечное пополнение рядов сочувствующих делу "Единой России".	4
Заключалась она в нейтрализации и выдавливании из партийных рядов её прежних лидеров Ю. Лужкова, С. Шойгу и М. Шаймиева.	4
На участки они пойдут "колоннами" под привычными флагами и лозунгами, тогда как в рядах "Единой России" от 3 до 5% членов тайно проголосуют за КПРФ.	4
Понятно, что в этом случае ряды региональной элиты существенно сократятся, что вряд ли устраивает её нынешних представителей.	4
Партийцы с радостью приняли нового товарища в свои ряды.	4
Быть может, такой законопроект олигархов стал бы альтернативой проекту думских левых, который заволокитили прокремлевские партии в Охотном ряду, пособляя правительству Касьянова.	5
Но при внимательном взгляде на ряды борцов этот праведный пыл постепенно угасает.	4
Собственно, не с кем блокироваться и коммунистам (если, конечно, не повторить прежний трюк с вычленением из собственных же рядов группы "аграриев"), но это только лишнее подтверждение того, что новую Думу ждут скорее политические бои, нежели конструктивная работа.	4
Перед светофором в Охотном Ряду его пальцы нащупали и вытянули сразу две пятнадцатикопеечных монеты.	5
Учитель, вышибленный из рядов советских педагогов, убрался из Гороховея, след его простыл, имя забылось, но необычный лабораторный опыт остался в памяти Андрюши навсегда, и, будучи заслуженным учёным и преподавателем, самые наисложнейшие разделы квантовой механики он представлял студентам как бытовые происшествия в гороховейской бане, к примеру.	4
И параллели, и деятельность ― калашный ряд, а Милию Алексеевичу лишь бы на аллюзиях не поскользнуться.	5
Не рано ль из железных военных рядов вышли?!" ― думал Виталя Кукин и, возобновив воспитующие беседы, обязал всех, и прежде всего вновь прибывших сортировщиков во время обеда иль после работы в обязательном порядке присутствовать на политчасе, который порою растягивался и на два часа.	4
Соседом по квартире оказался инструктор обкома партии, этакий типичный выдвиженец из низов в плотные непоколебимые партийные ряды.	4
Оно походило на старинный пассаж или крытые торговые ряды.	5
Ну, конечно, как же не слышать ― свои ряды на всю Торговую улицу, на Хлебном рынке свои лабазы.	5
